题型	编号	题干	选项A	选项B	选项C	选项D	正确答案
单选题	1	违反治安管理行为人一年内曾受过治安管理处罚的,()	从重处罚	加重处罚	减轻处罚	从轻处罚	A
单选题	2	根据《治安管理处罚法》等法律规定,下列行为中应当以治安违法进行处罚的是()	偷开他人机动车	酒后驾驶机动车辆	收购多张电话卡并出售	老师用戒尺体罚调皮捣蛋学生	A
单选题	3	下列()行政行为应当告知违反治安管理行为人有权要求举行听证,因李某结伙殴打他人,对其行政拘留十五日并处罚款两千元,对王某经营的KTV责令停业整顿一个月	刘某已满十四周岁不满十六周岁	因殴打他人被行政拘留五日不执行行政拘留	张某某因非法出境、入境	依据出入境管理法对其行政罚款五千元	B
单选题	4	刘某在朋友圈对某英雄烈士事迹发布“该英雄烈士事迹都是炒作并非事实”的不当言论,未引发大量跟读、炒作及重大社会舆情,其行为应按照()违法行为予以处罚	寻衅滋事	侵害英雄烈士姓名、肖像、名誉、荣誉	亵渎、否定英雄烈士事迹和精神	扰乱公共场所秩序	C
单选题	5	12月13日国家公祭日当天,王某和李某二人在某人民广场,王某穿和服、李某装扮成日本军官拍婚纱照,被路人举报,民警到场了解情况后对行为人开展释法明理的教育工作,该二人听从劝阻,认识了错误｡对该二人的行为应()	按寻衅滋事处罚	按扰乱公共场所秩序处罚	按在公共场所穿戴、宣扬、美化侵略行为的服饰、标志处罚	不构成违法行为	D
单选题	6	根据《公安机关接报案与立案工作规定》及《天津市公安局接报案和立案工作实施细则(试行)》,报案人通过来信、电子邮件、传真报案的,首接单位应当在收到报案材料之日起()内与报案人联系,并在市局执法办案平台进行接报案登记,但因没有联系方式等客观原因无法取得联系的除外	二日	三日	五日	七日	B
单选题	7	新修订《治安管理处罚法》正式施行时间为()	2025年6月27日	2026年1月1日	2025年7月15日	2025年11月1日	B
单选题	8	下列行为中属于妨碍社会管理的是()	非法携带匕首进入商场	在文物古迹上划刻	高空抛物	公交车上殴打他人	B
单选题	9	《治安管理处罚法》的立法目的,不包括(),维护社会治安秩序	保障公共安全	惩治罪犯	保护人民	保护公民、法人和其他组织的合法权益	C
单选题	10	王某在网络平台公布他人未公开的家庭住址和联系方式,其行为构成()	扰乱公共秩序	侵犯他人隐私	侮辱他人	诽谤他人	B
单选题	11	下列行为中不属于侵犯人身权利的是()	公然侮辱他人	偷窥他人隐私	故意损毁他人财物	殴打他人	C
单选题	12	新修订《治安管理处罚法》规定将单个违法行为的罚款幅度上限调整为()	一千元	二千元	五千元	一万元	C
单选题	13	《治安管理处罚法》中规定,涉案人数众多,违反治安管理行为人身份不明的,首次询问查证时间不得超过()	八小时	十二小时	十八小时	二十四小时	B
单选题	14	《治安管理处罚法》将治安案件办理期限由三十日延长至(),疑难案件可再延长相同期限	四十五日	六十日	九十日	一百二十日	B
单选题	15	赵某从自家10楼窗户向外抛掷一个空酒瓶,虽未砸中人车,但落在小区人行道旁｡公安机关可对赵某处以(),批评教育	不予处罚	五日以下拘留或者一千元以下罚款	必须处以十日拘留	仅能处以罚款	B
单选题	16	《治安管理处罚法》建立了治安违法记录封存制度｡关于此制度,下列说法正确的是(),所有治安违法记录均应当封存	封存的记录在任何情况下都不得查询	除法律明确规定外	任何单位不得要求提供无违法记录证明	此制度仅适用于未成年人	A
单选题	17	钱某因纠纷殴打他人致轻微伤｡在公安机关调查期间,钱某自愿如实陈述违法行为,承认事实并愿意接受处罚｡公安机关(),必须从轻或减轻处罚,可以依法从宽处理	因其认错态度好	应当不予处罚	不影响处罚	但可作为执行参考	B
单选题	18	治安管理处罚的程序,适用《治安管理处罚法》的规定;《治安管理处罚法》没有规定的,适用()的有关规定	《治安管理处罚条例》	《行政复议法》	《行政处罚法》	公安机关内部文件	C
单选题	19	违反治安管理的行为对他人造成损害的,()应当依法承担民事责任	行为人	监护人	行为人或者法定代理人	行为人或者监护人	D
单选题	20	下列情形中,可以适用治安调解的有()	放任动物恐吓他人	结伙斗殴或者寻衅滋事	当事人明确表示不愿调解处理	多次实施违反治安管理行为	A
单选题	21	教唆、胁迫、诱骗他人违反治安管理的,应当()	按照其教唆、胁迫、诱骗的行为处罚	减轻处罚	加重处罚	从轻处罚	A
单选题	22	单位违反治安管理的,对其()和其他直接责任人员依照《治安管理处罚法》的规定处罚｡其他法律、行政法规对同一行为规定给予单位处罚的,依照其规定处罚	直接负责的主管人员	领导	负责人	主管人员	A
单选题	23	对于单位违反《治安管理处罚法》的,应如何处罚()	仅对其直接负责的主管人员进行处罚	仅对直接责任人员进行处罚	应对其直接指使的主管人员进行处罚	应对其直接负责的主管人员和其他直接责任人员进行处罚	D
单选题	24	根据《治安管理处罚法》规定,可以减轻处罚的情形包括(),主动消除或者减轻违法后果	并取得被侵害人谅解的	初次违反治安管理的	由于他人教唆的	态度较好的	A
单选题	25	根据《治安管理处罚法》规定,不予处罚的情形包括()	出于他人诱骗的	初次违反治安管理的	由于他人教唆的	平时表现较好的	A
单选题	26	根据《治安管理处罚法》规定,可以不予处罚的情形包括(),主动投案	向公安机关如实陈述自己的违法行为的	初次违反治安管理的	由于他人教唆的	平时表现较好的	A
单选题	27	违反治安管理行为系出于他人胁迫或者诱骗的,()	从轻、减轻处罚或者不予处罚	从轻处罚或者不予处罚	减轻处罚	从轻处罚	A
单选题	28	下列治安管理处罚中可以由派出所决定的是()	警告和罚款	警告和五百元以下罚款	警告和一千元以下罚款	警告、罚款和行政拘留	C
单选题	29	对适用简易程序处罚的治安案件,下列说法正确的是()	民警必须出示人民警察证	民警着制服时可以不用出示工作证件	处罚决定书可以事后邮寄送达	经办民警应当三日内上报备案	A
单选题	30	被决定行政拘留的被处罚人,申请暂缓执行应当以什么形式提出()	只能以口头形式提出	只能以书面形式提出	口头形式或者书面形式	需要委托律师提出	C
单选题	31	下列()不能作为暂缓行政拘留执行的担保人	十三岁的表弟	本地八十岁的退休教师	在本村担任村支书的叔叔	本地律师朋友	A
单选题	32	下列各项中,不属于作为暂缓行政拘留执行担保人的必须具备的条件的是(),与本案无牵连	享有政治权利	人身自由未受到限制	在当地有常住户口和固定工作	有能力履行担保义务	C
单选题	33	担保人不履行担保义务,致使被担保人逃避行政拘留处罚的执行的,公安机关可以对其处以()	警告	行政拘留	罚款	追加保证金	C
单选题	34	被决定给予行政拘留处罚的人交纳保证金,暂缓行政拘留后,逃避行政拘留处罚的执行的,(),已经作出的行政拘留决定仍应执行	保证金予以没收并上缴国库	保证金予以收缴	保证金可以退还	保证金予以没收并重新交纳符合标准的保证金	A
单选题	35	被决定给予行政拘留处罚的人交纳保证金,暂缓行政拘留后,逃避行政拘留处罚的执行的,保证金予以没收并上缴国库,已经作出的行政拘留决定()	予以撤销	不再执行	仍应执行	执行无效	C
单选题	36	行政拘留的处罚决定被撤销,或者行政拘留处罚开始执行的,公安机关收取的保证金应()	继续保存在公安机关	上缴国库	退还交纳人	抵交罚款	C
单选题	37	《治安管理处罚法》规定,()处罚可由公安派出所决定	罚款一千五百元	行政拘留五日	罚款一千元	吊销公安机关发放的许可证件	C
